Loviflo  ;3;18;1;7;9;55;;;;39;Distinguished M-G      ;  Cobblestone  ;   2021-02-12 21:55:26  ;  00:00:37  ;  00:12:37  ;  9 : 7 
Ilesis  ;12;4;3;10;0;50;;;;14;Distinguished M-G      ;  Cobblestone  ;   2021-02-12 21:55:26  ;  00:00:37  ;  00:12:37  ;  9 : 7 
RTK  ;67;16;0;9;6;43;;;;32;Supreme Elite          ;  Cobblestone  ;   2021-02-12 21:55:26  ;  00:00:37  ;  00:12:37  ;  9 : 7 
MLODY ARUSEK  ;67;1;3;13;1;0;;;;5;Silver 3               ;  Cobblestone  ;   2021-02-12 21:55:26  ;  00:00:37  ;  00:12:37  ;  9 : 7 
Zeca Estacionancio CSGOWIN.RU  ;21;11;0;9;4;27;;;;22;Distinguished M-G      ;  Cobblestone  ;   2021-02-12 21:42:14  ;  00:01:21  ;  00:10:34  ;  5 : 9 
Mc Kilates  ;16;4;1;11;1;75;;;;11;Legendary Eagle        ;  Cobblestone  ;   2021-02-12 21:42:14  ;  00:01:21  ;  00:10:34  ;  5 : 9 
Loviflo  ;11;9;4;7;6;55;;;;24;Distinguished M-G      ;  Cobblestone  ;   2021-02-12 21:42:14  ;  00:01:21  ;  00:10:34  ;  5 : 9 
Ilesis  ;19;11;0;8;3;45;;;;22;Distinguished M-G      ;  Cobblestone  ;   2021-02-12 21:42:14  ;  00:01:21  ;  00:10:34  ;  5 : 9 
Loviflo  ;27;10;2;3;6;40;;;;25;Distinguished M-G      ;  Cobblestone  ;   2021-02-12 21:30:06  ;  00:00:28  ;  00:08:21  ;  9 : 2 
Ilesis  ;28;9;2;4;3;55;;;;22;Distinguished M-G      ;  Cobblestone  ;   2021-02-12 21:30:06  ;  00:00:28  ;  00:08:21  ;  9 : 2 
gtn  ;18;4;1;10;1;50;;;;9;Legendary Eagle Master ;  Cobblestone  ;   2021-02-12 21:30:06  ;  00:00:28  ;  00:08:21  ;  9 : 2 
♕Mr Shelby♕  ;34;3;0;9;1;0;;;;8;Silver 1               ;  Cobblestone  ;   2021-02-12 21:30:06  ;  00:00:28  ;  00:08:21  ;  9 : 2 
Loviflo  ;13;11;2;3;5;18;;;;24;Distinguished M-G      ;  Nuke  ;   2021-02-12 17:36:22  ;  00:00:13  ;  00:10:17  ;  9 : 1 
Ilesis  ;23;7;3;3;4;28;;;;17;Distinguished M-G      ;  Nuke  ;   2021-02-12 17:36:22  ;  00:00:13  ;  00:10:17  ;  9 : 1 
Sijrox  ;31;5;0;9;1;100;;;;10;Master Guardian Elite  ;  Nuke  ;   2021-02-12 17:36:22  ;  00:00:13  ;  00:10:17  ;  9 : 1 
xNikl4Z  ;57;1;0;9;0;100;;;;2;Distinguished M-G      ;  Nuke  ;   2021-02-12 17:36:22  ;  00:00:13  ;  00:10:17  ;  9 : 1 
Loviflo  ;21;17;1;8;6;29;;;;37;Distinguished M-G      ;  Nuke  ;   2021-02-12 17:17:10  ;  00:00:21  ;  00:14:03  ;  9 : 7 
Ilesis  ;28;7;4;8;3;57;;;;20;Distinguished M-G      ;  Nuke  ;   2021-02-12 17:17:10  ;  00:00:21  ;  00:14:03  ;  9 : 7 
xNikl4Z  ;37;8;1;12;3;50;;;;21;Distinguished M-G      ;  Nuke  ;   2021-02-12 17:17:10  ;  00:00:21  ;  00:14:03  ;  9 : 7 
Sijrox  ;16;8;3;12;4;50;;;;19;Master Guardian Elite  ;  Nuke  ;   2021-02-12 17:17:10  ;  00:00:21  ;  00:14:03  ;  9 : 7 
Entourloupe  ;33;9;0;6;5;20;;;;22;Distinguished M-G      ;  Nuke  ;   2021-02-12 17:04:54  ;  00:00:39  ;  00:09:16  ;  9 : 4 
Lyx  ;26;8;1;9;4;12;;;;17;Distinguished M-G      ;  Nuke  ;   2021-02-12 17:04:54  ;  00:00:39  ;  00:09:16  ;  9 : 4 
Loviflo  ;14;10;3;9;4;70;;;;23;Distinguished M-G      ;  Nuke  ;   2021-02-12 17:04:54  ;  00:00:39  ;  00:09:16  ;  9 : 4 
Ilesis  ;28;4;1;9;0;25;;;;11;Distinguished M-G      ;  Nuke  ;   2021-02-12 17:04:54  ;  00:00:39  ;  00:09:16  ;  9 : 4 
killer csgorun.pro cs.fail  ;47;9;1;9;2;33;;;;22;Master Guardian 2      ;  Nuke  ;   2021-02-12 16:50:30  ;  00:01:12  ;  00:11:43  ;  6 : 9 
🚦Nillen🚦 YOUTUBE ⬜  ;31;8;4;11;4;37;;;;22;Legendary Eagle        ;  Nuke  ;   2021-02-12 16:50:30  ;  00:01:12  ;  00:11:43  ;  6 : 9 
Loviflo  ;22;14;0;10;7;28;;;;28;Distinguished M-G      ;  Nuke  ;   2021-02-12 16:50:30  ;  00:01:12  ;  00:11:43  ;  6 : 9 
Ilesis  ;30;6;1;7;2;16;;;;18;Distinguished M-G      ;  Nuke  ;   2021-02-12 16:50:30  ;  00:01:12  ;  00:11:43  ;  6 : 9 
Ilesis  ;29;8;1;9;3;62;;;;17;Distinguished M-G      ;  Nuke  ;   2021-02-12 16:38:46  ;  00:00:18  ;  00:07:46  ;  4 : 9 
Loviflo  ;28;3;2;12;1;66;;;;8;Distinguished M-G      ;  Nuke  ;   2021-02-12 16:38:46  ;  00:00:18  ;  00:07:46  ;  4 : 9 
🚦Nillen🚦 YOUTUBE ⬜  ;31;10;2;6;5;30;;;;26;Master Guardian 2      ;  Nuke  ;   2021-02-12 16:38:46  ;  00:00:18  ;  00:07:46  ;  4 : 9 
killer csgorun.pro cs.fail  ;48;11;1;5;4;36;;;;23;Legendary Eagle        ;  Nuke  ;   2021-02-12 16:38:46  ;  00:00:18  ;  00:07:46  ;  4 : 9 
Ilesis  ;12;11;1;7;4;27;;;;27;Distinguished M-G      ;  Cobblestone  ;   2021-02-11 21:35:02  ;  00:01:05  ;  00:10:44  ;  9 : 6 
Loviflo  ;11;10;4;9;5;40;;;;24;Distinguished M-G      ;  Cobblestone  ;   2021-02-11 21:35:02  ;  00:01:05  ;  00:10:44  ;  9 : 6 
Herminator  ;22;11;2;11;4;72;;;;24;Gold Nova 1            ;  Cobblestone  ;   2021-02-11 21:35:02  ;  00:01:05  ;  00:10:44  ;  9 : 6 
Luk[e]  ;21;5;1;10;2;60;;;;11;Legendary Eagle Master ;  Cobblestone  ;   2021-02-11 21:35:02  ;  00:01:05  ;  00:10:44  ;  9 : 6 
Loviflo  ;29;12;2;3;8;33;;;;28;Distinguished M-G      ;  Cobblestone  ;   2021-02-11 21:23:50  ;  00:00:21  ;  00:07:54  ;  9 : 2 
Ilesis  ;37;8;3;6;1;62;;;;19;Distinguished M-G      ;  Cobblestone  ;   2021-02-11 21:23:50  ;  00:00:21  ;  00:07:54  ;  9 : 2 
dtntr  ;86;6;2;10;2;33;;;;14;Supreme Elite          ;  Cobblestone  ;   2021-02-11 21:23:50  ;  00:00:21  ;  00:07:54  ;  9 : 2 
ko  ;67;3;1;10;0;33;;;;7;Gold Nova 3            ;  Cobblestone  ;   2021-02-11 21:23:50  ;  00:00:21  ;  00:07:54  ;  9 : 2 
dtntr  ;63;12;3;11;4;50;;;;27;Supreme Elite          ;  Cobblestone  ;   2021-02-11 21:09:26  ;  00:01:03  ;  00:11:01  ;  8 : 8 
ko  ;66;7;1;9;4;28;;;;15;Gold Nova 3            ;  Cobblestone  ;   2021-02-11 21:09:26  ;  00:01:03  ;  00:11:01  ;  8 : 8 
Ilesis  ;14;13;0;9;4;38;;;;28;Distinguished M-G      ;  Cobblestone  ;   2021-02-11 21:09:26  ;  00:01:03  ;  00:11:01  ;  8 : 8 
Loviflo  ;10;7;5;10;4;28;;;;19;Distinguished M-G      ;  Cobblestone  ;   2021-02-11 21:09:26  ;  00:01:03  ;  00:11:01  ;  8 : 8 
Loviflo  ;20;12;2;9;8;33;;;;26;Distinguished M-G      ;  Cobblestone  ;   2021-02-11 20:55:42  ;  00:00:14  ;  00:10:32  ;  9 : 7 
Ilesis  ;28;7;0;10;1;57;;;;14;Distinguished M-G      ;  Cobblestone  ;   2021-02-11 20:55:42  ;  00:00:14  ;  00:10:32  ;  9 : 7 
oji  ;57;11;0;9;3;36;;;;22;Legendary Eagle        ;  Cobblestone  ;   2021-02-11 20:55:42  ;  00:00:14  ;  00:10:32  ;  9 : 7 
miruni  ;46;8;1;10;4;62;;;;17;Master Guardian Elite  ;  Cobblestone  ;   2021-02-11 20:55:42  ;  00:00:14  ;  00:10:32  ;  9 : 7 
Loviflo  ;27;16;3;9;7;43;;;;35;Distinguished M-G      ;  Nuke  ;   2021-02-11 20:36:38  ;  00:00:32  ;  00:15:30  ;  9 : 7 
Ilesis  ;28;7;2;11;2;14;;;;16;Distinguished M-G      ;  Nuke  ;   2021-02-11 20:36:38  ;  00:00:32  ;  00:15:30  ;  9 : 7 
Frantajoud  ;46;15;1;10;6;53;;;;33;Distinguished M-G      ;  Nuke  ;   2021-02-11 20:36:38  ;  00:00:32  ;  00:15:30  ;  9 : 7 
KOKOT OBECNÝ  ;65;5;5;13;1;40;;;;15;Master Guardian Elite  ;  Nuke  ;   2021-02-11 20:36:38  ;  00:00:32  ;  00:15:30  ;  9 : 7 
Loviflo  ;37;13;0;10;7;46;;;;26;Distinguished M-G      ;  Cobblestone  ;   2021-02-11 20:20:06  ;  00:00:43  ;  00:13:26  ;  8 : 8 
Ilesis  ;35;8;1;11;1;25;;;;19;Distinguished M-G      ;  Cobblestone  ;   2021-02-11 20:20:06  ;  00:00:43  ;  00:13:26  ;  8 : 8 
Svintus.Pro LeonidFrost  ;23;12;1;10;6;41;;;;25;Distinguished M-G      ;  Cobblestone  ;   2021-02-11 20:20:06  ;  00:00:43  ;  00:13:26  ;  8 : 8 
lcglcglcglcglcglcglcglcglcglcg  ;24;9;3;11;2;22;;;;21;Distinguished M-G      ;  Cobblestone  ;   2021-02-11 20:20:06  ;  00:00:43  ;  00:13:26  ;  8 : 8 
L1M1T  ;37;12;0;2;8;58;;;;24;Supreme Elite          ;  Nuke  ;   2021-02-11 18:12:47  ;  00:02:28  ;  00:06:02  ;  9 : 0 
BLB-5200  ;59;5;2;2;1;66;;;;12;Master Guardian        ;  Nuke  ;   2021-02-11 18:12:47  ;  00:02:28  ;  00:06:02  ;  9 : 0 
Ilesis  ;32;2;0;9;0;50;;;;4;Distinguished M-G      ;  Nuke  ;   2021-02-11 18:12:47  ;  00:02:28  ;  00:06:02  ;  9 : 0 
Loviflo  ;19;1;1;9;0;0;;;;3;Distinguished M-G      ;  Nuke  ;   2021-02-11 18:12:47  ;  00:02:28  ;  00:06:02  ;  9 : 0 
SwchekS  ;88;13;1;7;7;23;;;;27;Legendary Eagle        ;  Cobblestone  ;   2021-02-11 17:43:11  ;  00:01:07  ;  00:14:24  ;  9 : 5 
-d 2  ;58;7;3;8;2;42;;;;19;Distinguished M-G      ;  Cobblestone  ;   2021-02-11 17:43:11  ;  00:01:07  ;  00:14:24  ;  9 : 5 
Loviflo  ;28;10;2;11;3;10;;;;22;Legendary Eagle        ;  Cobblestone  ;   2021-02-11 17:43:11  ;  00:01:07  ;  00:14:24  ;  9 : 5 
Ilesis  ;30;5;2;9;2;40;;;;12;Legendary Eagle        ;  Cobblestone  ;   2021-02-11 17:43:11  ;  00:01:07  ;  00:14:24  ;  9 : 5 
Ilesis  ;29;6;2;11;1;33;;;;14;Legendary Eagle        ;  Cobblestone  ;   2021-02-11 17:29:19  ;  00:01:07  ;  00:08:39  ;  4 : 9 
Loviflo  ;27;6;1;9;3;33;;;;13;Legendary Eagle        ;  Cobblestone  ;   2021-02-11 17:29:19  ;  00:01:07  ;  00:08:39  ;  4 : 9 
Xue  ;27;13;2;7;5;61;;;;28;Distinguished M-G      ;  Cobblestone  ;   2021-02-11 17:29:19  ;  00:01:07  ;  00:08:39  ;  4 : 9 
°•.FeLiX.•°  ;90;7;0;5;4;57;;;;14;Distinguished M-G      ;  Cobblestone  ;   2021-02-11 17:29:19  ;  00:01:07  ;  00:08:39  ;  4 : 9 
Obvious_Potato  ;27;13;3;9;6;50;;;;31;Legendary Eagle        ;  Cobblestone  ;   2021-02-10 22:10:02  ;  00:01:06  ;  00:15:00  ;  8 : 8 
Sneaky Potato  ;33;4;0;10;2;40;;;;8;Unrank                 ;  Cobblestone  ;   2021-02-10 22:10:02  ;  00:01:06  ;  00:15:00  ;  8 : 8 
