id;Loviflo;3;18;1;7;9;55;;;;39;Distinguished M-G;Cobblestone;12/02/2021 21:55;00:00:37;00:12:37;09:07
1;Ilesis;12;4;3;10;0;50;;;;14;Distinguished M-G;Cobblestone;12/02/2021 21:55;00:00:37;00:12:37;09:07
2;RTK;67;16;0;9;6;43;;;;32;Supreme Elite;Cobblestone;12/02/2021 21:55;00:00:37;00:12:37;09:07
3;MLODY ARUSEK;67;1;3;13;1;0;;;;5;Silver 3;Cobblestone;12/02/2021 21:55;00:00:37;00:12:37;09:07
4;Zeca Estacionancio CSGOWIN.RU;21;11;0;9;4;27;;;;22;Distinguished M-G;Cobblestone;12/02/2021 21:42;00:01:21;00:10:34;05:09
5;Mc Kilates;16;4;1;11;1;75;;;;11;Legendary Eagle;Cobblestone;12/02/2021 21:42;00:01:21;00:10:34;05:09
6;Loviflo;11;9;4;7;6;55;;;;24;Distinguished M-G;Cobblestone;12/02/2021 21:42;00:01:21;00:10:34;05:09
7;Ilesis;19;11;0;8;3;45;;;;22;Distinguished M-G;Cobblestone;12/02/2021 21:42;00:01:21;00:10:34;05:09
8;Loviflo;27;10;2;3;6;40;;;;25;Distinguished M-G;Cobblestone;12/02/2021 21:30;00:00:28;00:08:21;09:02
9;Ilesis;28;9;2;4;3;55;;;;22;Distinguished M-G;Cobblestone;12/02/2021 21:30;00:00:28;00:08:21;09:02
10;gtn;18;4;1;10;1;50;;;;9;Legendary Eagle Master;Cobblestone;12/02/2021 21:30;00:00:28;00:08:21;09:02
11;♕Mr Shelby♕;34;3;0;9;1;0;;;;8;Silver 1;Cobblestone;12/02/2021 21:30;00:00:28;00:08:21;09:02
12;Loviflo;13;11;2;3;5;18;;;;24;Distinguished M-G;Nuke;12/02/2021 17:36;00:00:13;00:10:17;09:01
13;Ilesis;23;7;3;3;4;28;;;;17;Distinguished M-G;Nuke;12/02/2021 17:36;00:00:13;00:10:17;09:01
14;Sijrox;31;5;0;9;1;100;;;;10;Master Guardian Elite;Nuke;12/02/2021 17:36;00:00:13;00:10:17;09:01
15;xNikl4Z;57;1;0;9;0;100;;;;2;Distinguished M-G;Nuke;12/02/2021 17:36;00:00:13;00:10:17;09:01
16;Loviflo;21;17;1;8;6;29;;;;37;Distinguished M-G;Nuke;12/02/2021 17:17;00:00:21;00:14:03;09:07
17;Ilesis;28;7;4;8;3;57;;;;20;Distinguished M-G;Nuke;12/02/2021 17:17;00:00:21;00:14:03;09:07
18;xNikl4Z;37;8;1;12;3;50;;;;21;Distinguished M-G;Nuke;12/02/2021 17:17;00:00:21;00:14:03;09:07
19;Sijrox;16;8;3;12;4;50;;;;19;Master Guardian Elite;Nuke;12/02/2021 17:17;00:00:21;00:14:03;09:07
20;Entourloupe;33;9;0;6;5;20;;;;22;Distinguished M-G;Nuke;12/02/2021 17:04;00:00:39;00:09:16;09:04
21;Lyx;26;8;1;9;4;12;;;;17;Distinguished M-G;Nuke;12/02/2021 17:04;00:00:39;00:09:16;09:04
22;Loviflo;14;10;3;9;4;70;;;;23;Distinguished M-G;Nuke;12/02/2021 17:04;00:00:39;00:09:16;09:04
23;Ilesis;28;4;1;9;0;25;;;;11;Distinguished M-G;Nuke;12/02/2021 17:04;00:00:39;00:09:16;09:04
24;killer csgorun.pro cs.fail;47;9;1;9;2;33;;;;22;Master Guardian 2;Nuke;12/02/2021 16:50;00:01:12;00:11:43;06:09
25;🚦Nillen🚦 YOUTUBE ⬜;31;8;4;11;4;37;;;;22;Legendary Eagle;Nuke;12/02/2021 16:50;00:01:12;00:11:43;06:09
26;Loviflo;22;14;0;10;7;28;;;;28;Distinguished M-G;Nuke;12/02/2021 16:50;00:01:12;00:11:43;06:09
27;Ilesis;30;6;1;7;2;16;;;;18;Distinguished M-G;Nuke;12/02/2021 16:50;00:01:12;00:11:43;06:09
28;Ilesis;29;8;1;9;3;62;;;;17;Distinguished M-G;Nuke;12/02/2021 16:38;00:00:18;00:07:46;04:09
29;Loviflo;28;3;2;12;1;66;;;;8;Distinguished M-G;Nuke;12/02/2021 16:38;00:00:18;00:07:46;04:09
30;🚦Nillen🚦 YOUTUBE ⬜;31;10;2;6;5;30;;;;26;Master Guardian 2;Nuke;12/02/2021 16:38;00:00:18;00:07:46;04:09
31;killer csgorun.pro cs.fail;48;11;1;5;4;36;;;;23;Legendary Eagle;Nuke;12/02/2021 16:38;00:00:18;00:07:46;04:09
32;Ilesis;12;11;1;7;4;27;;;;27;Distinguished M-G;Cobblestone;11/02/2021 21:35;00:01:05;00:10:44;09:06
33;Loviflo;11;10;4;9;5;40;;;;24;Distinguished M-G;Cobblestone;11/02/2021 21:35;00:01:05;00:10:44;09:06
34;Herminator;22;11;2;11;4;72;;;;24;Gold Nova 1;Cobblestone;11/02/2021 21:35;00:01:05;00:10:44;09:06
35;Luk[e];21;5;1;10;2;60;;;;11;Legendary Eagle Master;Cobblestone;11/02/2021 21:35;00:01:05;00:10:44;09:06
36;Loviflo;29;12;2;3;8;33;;;;28;Distinguished M-G;Cobblestone;11/02/2021 21:23;00:00:21;00:07:54;09:02
37;Ilesis;37;8;3;6;1;62;;;;19;Distinguished M-G;Cobblestone;11/02/2021 21:23;00:00:21;00:07:54;09:02
38;dtntr;86;6;2;10;2;33;;;;14;Supreme Elite;Cobblestone;11/02/2021 21:23;00:00:21;00:07:54;09:02
39;ko;67;3;1;10;0;33;;;;7;Gold Nova 3;Cobblestone;11/02/2021 21:23;00:00:21;00:07:54;09:02
40;dtntr;63;12;3;11;4;50;;;;27;Supreme Elite;Cobblestone;11/02/2021 21:09;00:01:03;00:11:01;08:08
41;ko;66;7;1;9;4;28;;;;15;Gold Nova 3;Cobblestone;11/02/2021 21:09;00:01:03;00:11:01;08:08
42;Ilesis;14;13;0;9;4;38;;;;28;Distinguished M-G;Cobblestone;11/02/2021 21:09;00:01:03;00:11:01;08:08
43;Loviflo;10;7;5;10;4;28;;;;19;Distinguished M-G;Cobblestone;11/02/2021 21:09;00:01:03;00:11:01;08:08
44;Loviflo;20;12;2;9;8;33;;;;26;Distinguished M-G;Cobblestone;11/02/2021 20:55;00:00:14;00:10:32;09:07
45;Ilesis;28;7;0;10;1;57;;;;14;Distinguished M-G;Cobblestone;11/02/2021 20:55;00:00:14;00:10:32;09:07
46;oji;57;11;0;9;3;36;;;;22;Legendary Eagle;Cobblestone;11/02/2021 20:55;00:00:14;00:10:32;09:07
47;miruni;46;8;1;10;4;62;;;;17;Master Guardian Elite;Cobblestone;11/02/2021 20:55;00:00:14;00:10:32;09:07
48;Loviflo;27;16;3;9;7;43;;;;35;Distinguished M-G;Nuke;11/02/2021 20:36;00:00:32;00:15:30;09:07
49;Ilesis;28;7;2;11;2;14;;;;16;Distinguished M-G;Nuke;11/02/2021 20:36;00:00:32;00:15:30;09:07
