Player Name                        ;Ping ;Kill ;Assist ;Death ;MVP ;Accuracy ;Score ;Map            ;Date                ;Wait time ;Match duration ; ; ;
BARTOLOMEO                         ;70   ;14   ;0      ;7     ;6   ;35       ;37    ;Nuke           ;2021-02-07 21:09:21 ;01:05     ;17:09          ; ; ;
Chmur                              ;24   ;7    ;4      ;10    ;3   ;28       ;18    ;Nuke           ;2021-02-07 21:09:21 ;01:05     ;17:09          ; ; ;
Loviflo                            ;27   ;10   ;2      ;9     ;5   ;40       ;25    ;Nuke           ;2021-02-07 21:09:21 ;01:05     ;17:09          ; ; ;
Ilesis                             ;27   ;7    ;5      ;12    ;2   ;42       ;24    ;Nuke           ;2021-02-07 21:09:21 ;01:05     ;17:09          ; ; ;
Loviflo                            ;29   ;7    ;0      ;9     ;1   ;28       ;16    ;Cobblestone    ;2021-02-07 20:56:57 ;01:18     ;09:20          ; ; ;
Ilesis                             ;39   ;4    ;3      ;11    ;2   ;25       ;11    ;Cobblestone    ;2021-02-07 20:56:57 ;01:18     ;09:20          ; ; ;
ElementaR                          ;27   ;10   ;3      ;5     ;6   ;40       ;28    ;Cobblestone    ;2021-02-07 20:56:57 ;01:18     ;09:20          ; ; ;
ReJzi CASEDROP.eu                  ;50   ;10   ;3      ;6     ;3   ;50       ;25    ;Cobblestone    ;2021-02-07 20:56:57 ;01:18     ;09:20          ; ; ;
miruni                             ;27   ;9    ;1      ;3     ;5   ;44       ;19    ;Cobblestone    ;2021-02-07 20:46:25 ;01:05     ;06:46          ; ; ;
oji                                ;30   ;9    ;1      ;3     ;4   ;22       ;19    ;Cobblestone    ;2021-02-07 20:46:25 ;01:05     ;06:46          ; ; ;
Ilesis                             ;40   ;3    ;0      ;10    ;1   ;100      ;6     ;Cobblestone    ;2021-02-07 20:46:25 ;01:05     ;06:46          ; ; ;
Loviflo                            ;36   ;2    ;0      ;9     ;1   ;0        ;4     ;Cobblestone    ;2021-02-07 20:46:25 ;01:05     ;06:46          ; ; ;
pro_100ychel                       ;59   ;13   ;1      ;8     ;7   ;46       ;31    ;Nuke           ;2021-02-07 18:57:30 ;01:05     ;11:50          ; ; ;
s1mpl                              ;33   ;7    ;2      ;11    ;1   ;42       ;16    ;Nuke           ;2021-02-07 18:57:30 ;01:05     ;11:50          ; ; ;
Loviflo                            ;28   ;12   ;3      ;12    ;7   ;41       ;29    ;Nuke           ;2021-02-07 18:57:30 ;01:05     ;11:50          ; ; ;
Ilesis                             ;33   ;7    ;2      ;8     ;1   ;71       ;20    ;Nuke           ;2021-02-07 18:57:30 ;01:05     ;11:50          ; ; ;
Loviflo                            ;22   ;12   ;1      ;5     ;5   ;41       ;27    ;Cobblestone    ;2021-02-07 18:44:26 ;00:49     ;09:42          ; ; ;
Ilesis                             ;27   ;9    ;4      ;5     ;4   ;55       ;22    ;Cobblestone    ;2021-02-07 18:44:26 ;00:49     ;09:42          ; ; ;
Господь                            ;43   ;6    ;0      ;9     ;2   ;16       ;14    ;Cobblestone    ;2021-02-07 18:44:26 ;00:49     ;09:42          ; ; ;
ТАК БЛЭТ                           ;61   ;4    ;1      ;12    ;1   ;25       ;9     ;Cobblestone    ;2021-02-07 18:44:26 ;00:49     ;09:42          ; ; ;
Loviflo                            ;30   ;9    ;0      ;9     ;4   ;11       ;20    ;Cobblestone    ;2021-02-07 18:30:34 ;01:10     ;10:26          ; ; ;
Ilesis                             ;32   ;5    ;4      ;11    ;2   ;20       ;16    ;Cobblestone    ;2021-02-07 18:30:34 ;01:10     ;10:26          ; ; ;
2                                  ;26   ;13   ;1      ;6     ;4   ;53       ;27    ;Cobblestone    ;2021-02-07 18:30:34 ;01:10     ;10:26          ; ; ;
daErik                             ;36   ;7    ;0      ;8     ;5   ;28       ;16    ;Cobblestone    ;2021-02-07 18:30:34 ;01:10     ;10:26          ; ; ;
Loviflo                            ;14   ;11   ;4      ;12    ;7   ;18       ;28    ;Cobblestone    ;2021-02-07 18:15:30 ;01:08     ;11:25          ; ; ;
Ilesis                             ;15   ;8    ;2      ;10    ;1   ;62       ;18    ;Cobblestone    ;2021-02-07 18:15:30 ;01:08     ;11:25          ; ; ;
xxth.                              ;57   ;12   ;3      ;12    ;3   ;33       ;27    ;Cobblestone    ;2021-02-07 18:15:30 ;01:08     ;11:25          ; ; ;
Seee                               ;47   ;8    ;2      ;9     ;5   ;70       ;18    ;Cobblestone    ;2021-02-07 18:15:30 ;01:08     ;11:25          ; ; ;
Loviflo                            ;31   ;12   ;3      ;8     ;8   ;58       ;27    ;Nuke           ;2021-02-07 18:00:10 ;00:35     ;11:44          ; ; ;
Ilesis                             ;31   ;7    ;1      ;8     ;1   ;14       ;17    ;Nuke           ;2021-02-07 18:00:10 ;00:35     ;11:44          ; ; ;
Racc0оN                            ;75   ;8    ;2      ;9     ;3   ;37       ;24    ;Nuke           ;2021-02-07 18:00:10 ;00:35     ;11:44          ; ; ;
Slappy                             ;71   ;8    ;1      ;10    ;2   ;50       ;17    ;Nuke           ;2021-02-07 18:00:10 ;00:35     ;11:44          ; ; ;
Sq1zy                              ;11   ;12   ;1      ;6     ;4   ;50       ;31    ;Nuke           ;2021-02-07 17:42:26 ;00:21     ;13:47          ; ; ;
Пупсяра                            ;13   ;8    ;4      ;11    ;5   ;75       ;20    ;Nuke           ;2021-02-07 17:42:26 ;00:21     ;13:47          ; ; ;
Loviflo                            ;25   ;13   ;1      ;9     ;5   ;46       ;29    ;Nuke           ;2021-02-07 17:42:26 ;00:21     ;13:47          ; ; ;
Ilesis                             ;29   ;4    ;5      ;11    ;1   ;50       ;15    ;Nuke           ;2021-02-07 17:42:26 ;00:21     ;13:47          ; ; ;
wow                                ;45   ;10   ;4      ;6     ;6   ;30       ;24    ;Nuke           ;2021-02-07 17:28:42 ;00:14     ;10:49          ; ; ;
Rayen                              ;47   ;10   ;0      ;5     ;3   ;30       ;20    ;Nuke           ;2021-02-07 17:28:42 ;00:14     ;10:49          ; ; ;
Ilesis                             ;24   ;6    ;0      ;10    ;1   ;16       ;12    ;Nuke           ;2021-02-07 17:28:42 ;00:14     ;10:49          ; ; ;
Loviflo                            ;27   ;5    ;2      ;10    ;2   ;40       ;12    ;Nuke           ;2021-02-07 17:28:42 ;00:14     ;10:49          ; ; ;
Kortrex hellcase.com               ;31   ;9    ;1      ;13    ;5   ;44       ;20    ;Cobblestone    ;2021-02-07 17:12:18 ;01:07     ;13:13          ; ; ;
Bombas                             ;41   ;5    ;1      ;10    ;1   ;60       ;15    ;Cobblestone    ;2021-02-07 17:12:18 ;01:07     ;13:13          ; ; ;
Ilesis                             ;15   ;12   ;2      ;7     ;4   ;23       ;26    ;Cobblestone    ;2021-02-07 17:12:18 ;01:07     ;13:13          ; ; ;
Loviflo                            ;22   ;10   ;1      ;8     ;5   ;50       ;21    ;Cobblestone    ;2021-02-07 17:12:18 ;01:07     ;13:13          ; ; ;
